Date,B1,B2,B3,B4,B5,P1
"Saturday, August 17, 2024",12,31,43,45,46,22
"Wednesday, August 14, 2024",8,9,23,29,62,13
"Monday, August 12, 2024",9,22,57,67,68,14
"Saturday, August 10, 2024",9,24,33,64,69,9
"Wednesday, August 7, 2024",6,19,35,47,57,9
"Monday, August 5, 2024",29,42,44,51,54,12
"Saturday, August 3, 2024",13,33,40,60,61,20
"Wednesday, July 31, 2024",23,34,37,50,58,7
"Monday, July 29, 2024",11,27,30,33,44,16
"Saturday, July 27, 2024",3,31,37,40,64,17
"Wednesday, July 24, 2024",16,42,59,63,68,13
"Monday, July 22, 2024",31,36,56,58,69,20
"Saturday, July 20, 2024",18,25,31,40,57,4
"Wednesday, July 17, 2024",24,27,32,47,66,26
"Monday, July 15, 2024",9,31,39,40,45,23
"Saturday, July 13, 2024",9,55,59,66,69,21
"Wednesday, July 10, 2024",7,11,12,27,46,26
"Monday, July 8, 2024",20,22,31,33,45,1
"Saturday, July 6, 2024",5,32,35,39,49,21
"Wednesday, July 3, 2024",2,26,33,55,57,22
"Monday, July 1, 2024",5,9,32,39,55,9
"Saturday, June 29, 2024",26,51,54,61,69,25
"Wednesday, June 26, 2024",4,9,36,47,56,7
"Monday, June 24, 2024",5,6,36,53,69,8
"Saturday, June 22, 2024",4,5,15,32,62,21
"Wednesday, June 19, 2024",4,27,44,50,64,7
"Monday, June 17, 2024",30,48,53,58,66,9
"Saturday, June 15, 2024",4,36,48,54,56,2
"Wednesday, June 12, 2024",19,30,31,61,62,21
"Monday, June 10, 2024",3,10,33,58,59,9
"Saturday, June 8, 2024",8,38,52,54,64,15
"Wednesday, June 5, 2024",8,44,45,51,69,12
"Monday, June 3, 2024",19,29,35,36,45,16
"Saturday, June 1, 2024",28,38,52,54,68,8
"Wednesday, May 29, 2024",17,34,56,60,61,9
"Monday, May 27, 2024",9,30,39,49,59,21
"Saturday, May 25, 2024",6,33,35,36,64,24
"Wednesday, May 22, 2024",5,16,18,26,67,4
"Monday, May 20, 2024",1,7,48,64,68,5
"Saturday, May 18, 2024",19,36,37,42,59,19
"Wednesday, May 15, 2024",19,42,45,55,69,6
"Monday, May 13, 2024",5,14,29,38,66,1
"Saturday, May 11, 2024",3,6,39,49,67,21
"Wednesday, May 8, 2024",7,41,43,44,51,5
"Monday, May 6, 2024",7,23,24,56,60,25
"Saturday, May 4, 2024",14,20,23,53,69,4
"Wednesday, May 1, 2024",1,11,19,21,68,15
"Monday, April 29, 2024",11,38,47,67,69,14
"Saturday, April 27, 2024",9,30,53,55,62,23
"Wednesday, April 24, 2024",2,20,22,26,47,21
"Monday, April 22, 2024",12,16,33,39,52,1
"Saturday, April 20, 2024",4,35,41,44,58,25
"Wednesday, April 17, 2024",24,29,44,47,54,2
"Monday, April 15, 2024",7,16,41,56,61,23
"Saturday, April 13, 2024",7,33,40,43,69,10
"Wednesday, April 10, 2024",6,7,12,24,36,15
"Monday, April 8, 2024",6,21,23,39,54,23
"Saturday, April 6, 2024",22,27,44,52,69,9
"Wednesday, April 3, 2024",11,38,41,62,65,15
"Monday, April 1, 2024",19,24,40,42,56,23
"Saturday, March 30, 2024",12,13,33,50,52,23
"Wednesday, March 27, 2024",37,46,57,60,66,8
"Monday, March 25, 2024",7,11,19,53,68,23
"Saturday, March 23, 2024",6,23,25,34,51,3
"Wednesday, March 20, 2024",13,22,27,54,66,9
"Monday, March 18, 2024",10,17,20,39,44,16
"Saturday, March 16, 2024",12,23,44,57,61,5
"Wednesday, March 13, 2024",21,29,54,59,62,4
"Monday, March 11, 2024",1,3,7,16,66,5
"Saturday, March 9, 2024",30,36,49,52,63,16
"Wednesday, March 6, 2024",6,19,28,44,60,10
"Monday, March 4, 2024",36,42,50,52,67,26
"Saturday, March 2, 2024",3,18,27,36,53,12
"Wednesday, February 28, 2024",16,26,29,38,50,6
"Monday, February 26, 2024",24,29,42,51,54,16
"Saturday, February 24, 2024",3,8,40,53,58,3
"Wednesday, February 21, 2024",4,27,33,41,42,14
"Monday, February 19, 2024",4,23,45,50,53,17
"Saturday, February 17, 2024",6,28,59,62,69,21
"Wednesday, February 14, 2024",1,4,45,47,67,18
"Monday, February 12, 2024",17,36,43,53,67,14
"Saturday, February 10, 2024",27,28,34,37,44,8
"Wednesday, February 7, 2024",12,21,62,67,69,17
"Monday, February 5, 2024",1,2,27,30,67,9
"Saturday, February 3, 2024",9,11,27,59,66,19
"Wednesday, January 31, 2024",15,18,19,41,43,14
"Monday, January 29, 2024",39,41,43,49,64,4
"Saturday, January 27, 2024",7,38,65,66,68,21
"Wednesday, January 24, 2024",1,5,32,50,64,8
"Monday, January 22, 2024",24,25,43,52,63,21
"Saturday, January 20, 2024",16,31,34,47,65,10
"Wednesday, January 17, 2024",18,22,43,61,65,2
"Monday, January 15, 2024",13,30,35,49,59,4
"Saturday, January 13, 2024",13,31,33,51,58,15
"Wednesday, January 10, 2024",25,40,43,48,50,11
"Monday, January 8, 2024",7,17,28,40,45,2
"Saturday, January 6, 2024",4,31,34,38,61,13
